start,end,file,Cyanocitta cristata_Blue Jay,Dryobates villosus_Hairy Woodpecker,Branta canadensis_Canada Goose,Strix varia_Barred Owl,Nycticorax nycticorax_Black-crowned Night-Heron,Anser caerulescens_Snow Goose,Sitta carolinensis_White-breasted Nuthatch,Anas platyrhynchos_Mallard,Zonotrichia leucophrys_White-crowned Sparrow,Poecile atricapillus_Black-capped Chickadee,Pseudacris crucifer_Spring Peeper,Certhia americana_Brown Creeper,Dryobates pubescens_Downy Woodpecker,Catharus guttatus_Hermit Thrush,Turdus migratorius_American Robin,Regulus satrapa_Golden-crowned Kinglet,Setophaga striata_Blackpoll Warbler,Zonotrichia albicollis_White-throated Sparrow,Buteo lineatus_Red-shouldered Hawk,Aegolius acadicus_Northern Saw-whet Owl,Bubo virginianus_Great Horned Owl,Sitta canadensis_Red-breasted Nuthatch,Junco hyemalis_Dark-eyed Junco,Bombycilla cedrorum_Cedar Waxwing,Scudderia texensis_Texas Bush Katydid,Microcentrum rhombifolium_Greater Angle-wing,Corvus corax_Common Raven,Salpinctes obsoletus_Rock Wren,Oecanthus exclamationis_Davis's Tree Cricket,Gavia immer_Common Loon,Quiscalus quiscula_Common Grackle,Dryocopus pileatus_Pileated Woodpecker,Botaurus lentiginosus_American Bittern,Melospiza georgiana_Swamp Sparrow,Human non-vocal_Human non-vocal,Engine_Engine,Coccothraustes vespertinus_Evening Grosbeak,Loxia curvirostra_Red Crossbill,Conocephalus fasciatus_Slender Meadow Katydid
33.0,36.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122400.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122500.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_122900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251013_180200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251013_180300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
